Sensor.LVDT 1/LVDT 1,Sensor.LVDT 2/LVDT 2,Sensor.LVDT 3/LVDT 3
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.15317502136165,1.40172740505314,-6.0736196132911
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.14807039465919,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.06596314265981
-6.14551808130796,1.40683056574201,-6.071067456414
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14296576795674,1.40427898539758,-6.08127608392239
-6.14296576795674,1.40172740505314,-6.071067456414
-6.14296576795674,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.15062270801042,1.39662424436427,-6.071067456414
-6.15317502136165,1.40172740505314,-6.071067456414
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.0685152995369
-6.14807039465919,1.40172740505314,-6.0685152995369
-6.14551808130796,1.40427898539758,-6.0736196132911
-6.14296576795674,1.40427898539758,-6.0736196132911
-6.14296576795674,1.40683056574201,-6.071067456414
-6.14296576795674,1.3991758247087,-6.071067456414
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14296576795674,1.39407266401983,-6.08127608392239
-6.14807039465919,1.39662424436427,-6.071067456414
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.071067456414
-6.14296576795674,1.3991758247087,-6.07872392704529
-6.14807039465919,1.39662424436427,-6.07872392704529
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.15317502136165,1.3991758247087,-6.0736196132911
-6.14296576795674,1.40172740505314,-6.06596314265981
-6.15062270801042,1.40683056574201,-6.0685152995369
-6.14551808130796,1.40427898539758,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14041345460551,1.40683056574201,-6.07617177016819
-6.13786114125428,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14807039465919,1.3991758247087,-6.06596314265981
-6.14296576795674,1.40938214608645,-6.06596314265981
-6.14551808130796,1.40683056574201,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14296576795674,1.39662424436427,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.15317502136165,1.3991758247087,-6.071067456414
-6.15317502136165,1.39662424436427,-6.06596314265981
-6.14807039465919,1.40172740505314,-6.06596314265981
-6.14551808130796,1.40427898539758,-6.0736196132911
-6.14551808130796,1.40427898539758,-6.06596314265981
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14807039465919,1.39407266401983,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.0736196132911
-6.15317502136165,1.39662424436427,-6.0736196132911
-6.15317502136165,1.40172740505314,-6.06596314265981
-6.15317502136165,1.40172740505314,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.06596314265981
-6.14296576795674,1.40683056574201,-6.06596314265981
-6.14041345460551,1.40683056574201,-6.071067456414
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14041345460551,1.40172740505314,-6.08127608392239
-6.13786114125428,1.3991758247087,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14296576795674,1.39662424436427,-6.08127608392239
-6.15062270801042,1.39662424436427,-6.0736196132911
-6.15572733471288,1.3991758247087,-6.071067456414
-6.14551808130796,1.3991758247087,-6.0685152995369
-6.15317502136165,1.40938214608645,-6.0685152995369
-6.14807039465919,1.40427898539758,-6.0685152995369
-6.14296576795674,1.40172740505314,-6.0685152995369
-6.14551808130796,1.40427898539758,-6.0685152995369
-6.14041345460551,1.40683056574201,-6.071067456414
-6.14296576795674,1.40172740505314,-6.071067456414
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.14041345460551,1.39662424436427,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.15062270801042,1.39662424436427,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.14807039465919,1.3991758247087,-6.06596314265981
-6.14296576795674,1.40427898539758,-6.071067456414
-6.14296576795674,1.3991758247087,-6.071067456414
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14041345460551,1.3915210836754,-6.08127608392239
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.07872392704529
-6.15317502136165,1.39662424436427,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.15317502136165,1.39662424436427,-6.071067456414
-6.15317502136165,1.40172740505314,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.06596314265981
-6.14296576795674,1.40683056574201,-6.0685152995369
-6.14041345460551,1.40427898539758,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.07617177016819
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.15062270801042,1.39407266401983,-6.08127608392239
-6.15317502136165,1.39662424436427,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.15317502136165,1.3991758247087,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.071067456414
-6.14296576795674,1.40683056574201,-6.071067456414
-6.14041345460551,1.40683056574201,-6.07617177016819
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14807039465919,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.071067456414
-6.15317502136165,1.3991758247087,-6.0685152995369
-6.15062270801042,1.3991758247087,-6.0685152995369
-6.15572733471288,1.40938214608645,-6.071067456414
-6.14551808130796,1.3991758247087,-6.06596314265981
-6.14551808130796,1.40683056574201,-6.071067456414
-6.14551808130796,1.40683056574201,-6.0736196132911
-6.14296576795674,1.40683056574201,-6.0685152995369
-6.14041345460551,1.40427898539758,-6.0736196132911
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39407266401983,-6.07872392704529
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.14807039465919,1.40172740505314,-6.071067456414
-6.15062270801042,1.40172740505314,-6.071067456414
-6.15062270801042,1.40683056574201,-6.0685152995369
-6.14551808130796,1.40427898539758,-6.071067456414
-6.14551808130796,1.40172740505314,-6.071067456414
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14296576795674,1.3915210836754,-6.07872392704529
-6.14296576795674,1.39662424436427,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.071067456414
-6.14296576795674,1.3991758247087,-6.06596314265981
-6.14807039465919,1.40683056574201,-6.06596314265981
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.15317502136165,1.39407266401983,-6.07617177016819
-6.15317502136165,1.3991758247087,-6.071067456414
-6.14551808130796,1.40938214608645,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.06596314265981
-6.14041345460551,1.41448530677532,-6.07872392704529
-6.14296576795674,1.39662424436427,-6.08127608392239
-6.14807039465919,1.39407266401983,-6.071067456414
-6.14807039465919,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.071067456414
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14041345460551,1.40172740505314,-6.07617177016819
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39662424436427,-6.07872392704529
-6.15062270801042,1.39662424436427,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.071067456414
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14296576795674,1.40683056574201,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.08382824079948
-6.14296576795674,1.39662424436427,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.07872392704529
-6.15062270801042,1.40172740505314,-6.071067456414
-6.14296576795674,1.40172740505314,-6.0736196132911
-6.15317502136165,1.40683056574201,-6.0685152995369
-6.14041345460551,1.40938214608645,-6.071067456414
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.071067456414
-6.15062270801042,1.40172740505314,-6.07617177016819
-6.14551808130796,1.3991758247087,-6.0685152995369
-6.14296576795674,1.40683056574201,-6.0685152995369
-6.14041345460551,1.40427898539758,-6.071067456414
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.15317502136165,1.40683056574201,-6.071067456414
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.15062270801042,1.39407266401983,-6.0685152995369
-6.15062270801042,1.40172740505314,-6.071067456414
-6.14041345460551,1.40427898539758,-6.07617177016819
-6.14041345460551,1.3991758247087,-6.071067456414
-6.14296576795674,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.15062270801042,1.39407266401983,-6.0685152995369
-6.14551808130796,1.40427898539758,-6.0685152995369
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.07872392704529
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.15317502136165,1.40172740505314,-6.071067456414
-6.14551808130796,1.40172740505314,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14041345460551,1.40683056574201,-6.071067456414
-6.14041345460551,1.39407266401983,-6.08127608392239
-6.14807039465919,1.3991758247087,-6.07617177016819
-6.14296576795674,1.3991758247087,-6.06596314265981
-6.14041345460551,1.40427898539758,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.07617177016819
-6.14807039465919,1.40172740505314,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14296576795674,1.39407266401983,-6.07872392704529
-6.15062270801042,1.3991758247087,-6.06596314265981
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.14551808130796,1.40938214608645,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14296576795674,1.39662424436427,-6.08127608392239
-6.14296576795674,1.39662424436427,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.071067456414
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14296576795674,1.40683056574201,-6.0685152995369
-6.14041345460551,1.40427898539758,-6.07872392704529
-6.14296576795674,1.39662424436427,-6.08127608392239
-6.15062270801042,1.39662424436427,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.06596314265981
-6.14296576795674,1.3991758247087,-6.071067456414
-6.13786114125428,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14807039465919,1.3991758247087,-6.0736196132911
-6.15062270801042,1.39407266401983,-6.06596314265981
-6.14551808130796,1.40938214608645,-6.0685152995369
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14551808130796,1.39662424436427,-6.07872392704529
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.14807039465919,1.3991758247087,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14296576795674,1.40938214608645,-6.08127608392239
-6.14296576795674,1.39407266401983,-6.08127608392239
-6.14807039465919,1.39662424436427,-6.071067456414
-6.14296576795674,1.40427898539758,-6.0685152995369
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.08127608392239
-6.14551808130796,1.40172740505314,-6.07617177016819
-6.15317502136165,1.3991758247087,-6.06596314265981
-6.14041345460551,1.40427898539758,-6.071067456414
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.06596314265981
-6.15572733471288,1.40683056574201,-6.071067456414
-6.14296576795674,1.40427898539758,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.07872392704529
-6.13786114125428,1.39407266401983,-6.08127608392239
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.14807039465919,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14296576795674,1.40683056574201,-6.071067456414
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.07872392704529
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.15062270801042,1.39662424436427,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.071067456414
-6.14296576795674,1.40683056574201,-6.06596314265981
-6.14296576795674,1.40683056574201,-6.0685152995369
-6.14041345460551,1.3991758247087,-6.071067456414
-6.14041345460551,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39407266401983,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14551808130796,1.40172740505314,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.071067456414
-6.14551808130796,1.3991758247087,-6.06596314265981
-6.14041345460551,1.40172740505314,-6.071067456414
-6.14551808130796,1.40172740505314,-6.07872392704529
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.15062270801042,1.39407266401983,-6.071067456414
-6.15062270801042,1.3991758247087,-6.071067456414
-6.14807039465919,1.40683056574201,-6.071067456414
-6.14041345460551,1.40427898539758,-6.071067456414
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14296576795674,1.40683056574201,-6.071067456414
-6.14296576795674,1.40172740505314,-6.071067456414
-6.14551808130796,1.39407266401983,-6.071067456414
-6.15062270801042,1.3991758247087,-6.071067456414
-6.14296576795674,1.40172740505314,-6.06596314265981
-6.14296576795674,1.40172740505314,-6.0736196132911
-6.14807039465919,1.3991758247087,-6.07872392704529
-6.14296576795674,1.39662424436427,-6.0736196132911
-6.15317502136165,1.40172740505314,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14041345460551,1.3991758247087,-6.07872392704529
-6.14041345460551,1.39407266401983,-6.07872392704529
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.14041345460551,1.40427898539758,-6.071067456414
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14551808130796,1.39662424436427,-6.0736196132911
-6.15317502136165,1.3991758247087,-6.0736196132911
-6.15317502136165,1.3991758247087,-6.06596314265981
-6.14551808130796,1.40172740505314,-6.06596314265981
-6.14551808130796,1.40683056574201,-6.06596314265981
-6.14296576795674,1.40683056574201,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.07872392704529
-6.14296576795674,1.39662424436427,-6.071067456414
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.0685152995369
-6.14296576795674,1.40683056574201,-6.0736196132911
-6.14041345460551,1.40938214608645,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39407266401983,-6.0736196132911
-6.15317502136165,1.40172740505314,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14551808130796,1.40172740505314,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.14807039465919,1.40172740505314,-6.071067456414
-6.15062270801042,1.40172740505314,-6.0685152995369
-6.14807039465919,1.40427898539758,-6.071067456414
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.13786114125428,1.40172740505314,-6.08127608392239
-6.14551808130796,1.39407266401983,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.071067456414
-6.14551808130796,1.3991758247087,-6.071067456414
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14296576795674,1.39407266401983,-6.08127608392239
-6.15572733471288,1.39407266401983,-6.071067456414
-6.15062270801042,1.40427898539758,-6.06596314265981
-6.14551808130796,1.40683056574201,-6.0736196132911
-6.14041345460551,1.40427898539758,-6.0736196132911
-6.14296576795674,1.40172740505314,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.15317502136165,1.3915210836754,-6.071067456414
-6.14551808130796,1.40683056574201,-6.06596314265981
-6.14296576795674,1.40427898539758,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.08127608392239
-6.14296576795674,1.39662424436427,-6.08127608392239
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.15317502136165,1.40172740505314,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.06596314265981
-6.14041345460551,1.40427898539758,-6.07617177016819
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.07872392704529
-6.14296576795674,1.39407266401983,-6.07872392704529
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.0685152995369
-6.14551808130796,1.40938214608645,-6.0685152995369
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14041345460551,1.40172740505314,-6.071067456414
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.071067456414
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14551808130796,1.40938214608645,-6.071067456414
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.07872392704529
-6.14041345460551,1.39662424436427,-6.07872392704529
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.15317502136165,1.39407266401983,-6.06596314265981
-6.14296576795674,1.3991758247087,-6.06596314265981
-6.15317502136165,1.40683056574201,-6.0685152995369
-6.14551808130796,1.40427898539758,-6.0736196132911
-6.14296576795674,1.40427898539758,-6.071067456414
-6.14551808130796,1.40172740505314,-6.0736196132911
-6.14041345460551,1.40172740505314,-6.08127608392239
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.14296576795674,1.39662424436427,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.15317502136165,1.39662424436427,-6.0736196132911
-6.15317502136165,1.3991758247087,-6.071067456414
-6.14551808130796,1.3991758247087,-6.06596314265981
-6.14551808130796,1.40683056574201,-6.071067456414
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.07617177016819
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14041345460551,1.39662424436427,-6.07872392704529
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.15317502136165,1.3991758247087,-6.071067456414
-6.14296576795674,1.3991758247087,-6.06596314265981
-6.14296576795674,1.40427898539758,-6.071067456414
-6.14296576795674,1.40427898539758,-6.0685152995369
-6.14041345460551,1.40683056574201,-6.071067456414
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14296576795674,1.39407266401983,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.071067456414
-6.14296576795674,1.39407266401983,-6.07617177016819
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.14807039465919,1.40172740505314,-6.0736196132911
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.14296576795674,1.40683056574201,-6.0736196132911
-6.14296576795674,1.40427898539758,-6.07617177016819
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14041345460551,1.40172740505314,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.07872392704529
-6.14296576795674,1.39662424436427,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.071067456414
-6.14551808130796,1.39662424436427,-6.07872392704529
-6.15317502136165,1.39407266401983,-6.07617177016819
-6.14551808130796,1.40172740505314,-6.0685152995369
-6.14807039465919,1.40427898539758,-6.06596314265981
-6.14296576795674,1.40427898539758,-6.071067456414
-6.14296576795674,1.40938214608645,-6.0685152995369
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.071067456414
-6.14296576795674,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14296576795674,1.3915210836754,-6.08127608392239
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.15317502136165,1.39407266401983,-6.0685152995369
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.15062270801042,1.39662424436427,-6.0685152995369
-6.14807039465919,1.40172740505314,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.0685152995369
-6.15317502136165,1.40172740505314,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.0685152995369
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.14296576795674,1.40172740505314,-6.0685152995369
-6.15062270801042,1.3991758247087,-6.0685152995369
-6.14551808130796,1.3991758247087,-6.0685152995369
-6.14551808130796,1.40427898539758,-6.06596314265981
-6.14551808130796,1.40938214608645,-6.0736196132911
-6.14551808130796,1.40683056574201,-6.07617177016819
-6.14041345460551,1.40427898539758,-6.0736196132911
-6.14041345460551,1.40427898539758,-6.07872392704529
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.07872392704529
-6.14296576795674,1.39407266401983,-6.071067456414
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14551808130796,1.39662424436427,-6.07872392704529
-6.14296576795674,1.39407266401983,-6.0736196132911
-6.14551808130796,1.39407266401983,-6.071067456414
-6.15317502136165,1.3991758247087,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.06596314265981
-6.15062270801042,1.40683056574201,-6.0685152995369
-6.14551808130796,1.40172740505314,-6.06596314265981
-6.14551808130796,1.40938214608645,-6.0685152995369
-6.14296576795674,1.3991758247087,-6.071067456414
-6.14551808130796,1.40683056574201,-6.06596314265981
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.13786114125428,1.3991758247087,-6.0736196132911
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14296576795674,1.40172740505314,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.07872392704529
-6.14041345460551,1.40172740505314,-6.08127608392239
-6.14296576795674,1.3991758247087,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14041345460551,1.3991758247087,-6.08127608392239
-6.14551808130796,1.40172740505314,-6.07872392704529
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.08382824079948
-6.14041345460551,1.3991758247087,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.08127608392239
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.14551808130796,1.39407266401983,-6.0736196132911
-6.14551808130796,1.39662424436427,-6.08127608392239
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.071067456414
-6.15317502136165,1.39662424436427,-6.071067456414
-6.15317502136165,1.3991758247087,-6.0736196132911
-6.15317502136165,1.40172740505314,-6.0685152995369
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.14296576795674,1.40172740505314,-6.0685152995369
-6.14551808130796,1.40427898539758,-6.0685152995369
-6.14551808130796,1.40683056574201,-6.0685152995369
-6.15062270801042,1.40427898539758,-6.0685152995369
-6.14551808130796,1.40938214608645,-6.0736196132911
-6.14807039465919,1.40683056574201,-6.06596314265981
-6.14041345460551,1.40683056574201,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.071067456414
-6.14041345460551,1.3991758247087,-6.071067456414
-6.14296576795674,1.39407266401983,-6.07872392704529
-6.14551808130796,1.3991758247087,-6.08127608392239
-6.14551808130796,1.40172740505314,-6.08127608392239
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14551808130796,1.39407266401983,-6.071067456414
-6.15062270801042,1.39407266401983,-6.071067456414
-6.15317502136165,1.3991758247087,-6.071067456414
-6.15317502136165,1.3991758247087,-6.0736196132911
-6.14807039465919,1.39407266401983,-6.071067456414
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.0685152995369
-6.15317502136165,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40172740505314,-6.0685152995369
-6.14807039465919,1.40683056574201,-6.0685152995369
-6.15317502136165,1.40683056574201,-6.0685152995369
-6.14296576795674,1.3991758247087,-6.071067456414
-6.14551808130796,1.40427898539758,-6.06596314265981
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14551808130796,1.40683056574201,-6.06596314265981
-6.14041345460551,1.40683056574201,-6.071067456414
-6.14296576795674,1.3991758247087,-6.07617177016819
-6.14041345460551,1.39662424436427,-6.08127608392239
-6.14041345460551,1.39407266401983,-6.08127608392239
-6.14551808130796,1.39407266401983,-6.08127608392239
-6.14296576795674,1.39407266401983,-6.0736196132911
-6.15062270801042,1.39407266401983,-6.0736196132911
-6.14551808130796,1.39662424436427,-6.07872392704529
-6.15317502136165,1.39407266401983,-6.0736196132911
-6.14296576795674,1.3991758247087,-6.0736196132911
-6.15062270801042,1.39407266401983,-6.071067456414
-6.15062270801042,1.40172740505314,-6.0736196132911
-6.14807039465919,1.39407266401983,-6.0736196132911
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.15317502136165,1.3991758247087,-6.0685152995369
-6.15062270801042,1.3991758247087,-6.0736196132911
-6.14551808130796,1.3991758247087,-6.06596314265981
-6.15317502136165,1.40427898539758,-6.0685152995369
-6.14551808130796,1.3991758247087,-6.0736196132911
-6.14296576795674,1.40427898539758,-6.071067456414
-6.14041345460551,1.40683056574201,-6.07617177016819
